SMILES,Category
O=[N+]([O-])c1ccc(CN2CCc3oc4ccccc4c3C2)cc1.N#CC,Application_ds
  OC[C@@H](Nc1c(NCc2ccc3c(c2)OCO3)c(=S)c1=S)c1ccccc1.CO,Application_ds
C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+].N#CC,Application_ds
O=C(OCC=C)NC1=NC2=C(S1)CC3C(C)(CO)C(O)CCC3(C)C2CC(=O)NCC=4C=CC=CC4.CC1CCCO1,Application_ds
O=C1OC=2C=C3OC=C(C3=CC2C(=C1CC(O)=NCCC4=CNC=5C=CC(F)=CC54)C)C.O=CN(C)C,Application_ds
COc1cc2c(Cl)ncnc2cc1OCCCN1CCCC1.CC1CCCO1,Application_ds
COCCNC(=O)c1cccc(-c2ccc(F)c3cc(Cc4cccc(S(C)(=O)=O)c4)sc23)c1.CC1=CC=CC=C1,Application_ds
  O=C(CCNc1c(NC(=O)CCCCl)c1=O)NCc1ccccc1.CO,Application_ds
COC(=O)c1ccc(NC2CCN(Cc3ccccc3)CC2)nc1.CO,Application_ds
CC(C)[C@@H](C)N.CCO,Application_ds
CCCCCCCN(c1ccccc1)C(C)CCC.CC(OCC)=O,Application_ds
Cn1c(S)nc2ccsc2c1=O.N#CC,Application_ds
  C#CCNS(=O)(=O)Nc1ccccc1C#Cc1ccccc1B(O)O.CC1=CC=CC=C1,Application_ds
O=C(OC1C(=CC(C)C(O)C(OC)CC(C)CC2=C(O)C(=CC(O)=C2NCC=C)NC(=O)C(=CC=CC1OC)C)C)N.CCO,Application_ds
c1ccc(CCNc2ccccc2)cc1.CC1CCCO1,Application_ds
COc1cc(F)c2nc(C)c3c(C)nc(Br)n3c2c1.CC(OCC)=O,Application_ds
O=C1OC23CC45OC6(OC7C(OC(=O)C7C)C8C(C(=O)C(C)(CC4)C86C)C)C(=O)C5C(O)CC3C(OC2(O)C1)(C)C.CC1=CC=CC=C1,Application_ds
CC(=O)Nc1cccc(C2CCN(CCCNc3nc(NCc4ccccn4)c4ccccc4n3)CC2)c1.O=CN(C)C,Application_ds
CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1.CC1=CC=CC=C1,Application_ds
OCC1OC(OC(C)(C)C2CCC3(C)C(O)C(O)CC(=C)C3C2)C(O)C(O)C1O.O=CN(C)C,Application_ds
O=C1OC=2C(C=C1C(=O)OCC)=C3C(OC4=C3CCCC4)=CC2C(C)(C)C.CC(OCC)=O,Application_ds
O=CC(=C1CCC(O)(CCNC)C23CCC(C(=CC=CC(=C)CCC=C(C)C)CO)(CCC12CCCO)C3O)C.CC(OCC)=O,Application_ds
COC(=O)c1ccc(N2CCC3(CC2)CC3C(=O)N2CCN(C3CCC3)CC2)cc1.CO,Application_ds
COC(=O)C(Br)c1ccc(Oc2ccc(C#N)cc2)cc1.CC(C)=O,Application_ds
CNC(=O)Oc1ccc(N)c(C)c1.CC1=CC=CC=C1,Application_ds
